Date,netflix_Trend_Brazil
4/25/2016,43
5/2/2016,44
5/9/2016,45
5/16/2016,47
5/23/2016,53
5/30/2016,45
6/6/2016,46
6/13/2016,51
6/20/2016,53
6/27/2016,52
7/4/2016,52
7/11/2016,52
7/18/2016,61
7/25/2016,60
8/1/2016,54
8/8/2016,44
8/15/2016,46
8/22/2016,49
8/29/2016,49
9/5/2016,57
9/12/2016,47
9/19/2016,49
9/26/2016,52
10/3/2016,50
10/10/2016,58
10/17/2016,53
10/24/2016,54
10/31/2016,61
11/7/2016,51
11/14/2016,66
11/21/2016,53
11/28/2016,58
12/5/2016,57
12/12/2016,62
12/19/2016,63
12/26/2016,67
1/2/2017,69
1/9/2017,69
1/16/2017,65
1/23/2017,66
1/30/2017,62
2/6/2017,55
2/13/2017,54
2/20/2017,56
2/27/2017,75
3/6/2017,57
3/13/2017,53
3/20/2017,59
3/27/2017,58
4/3/2017,62
4/10/2017,69
4/17/2017,70
4/24/2017,65
5/1/2017,75
5/8/2017,61
5/15/2017,58
5/22/2017,59
5/29/2017,56
6/5/2017,53
6/12/2017,64
6/19/2017,55
6/26/2017,60
7/3/2017,63
7/10/2017,65
7/17/2017,70
7/24/2017,68
7/31/2017,66
8/7/2017,64
8/14/2017,65
8/21/2017,67
8/28/2017,65
9/4/2017,71
9/11/2017,57
9/18/2017,59
9/25/2017,56
10/2/2017,61
10/9/2017,69
10/16/2017,57
10/23/2017,61
10/30/2017,75
11/6/2017,61
11/13/2017,64
11/20/2017,60
11/27/2017,60
12/4/2017,61
12/11/2017,62
12/18/2017,68
12/25/2017,84
1/1/2018,84
1/8/2018,79
1/15/2018,73
1/22/2018,74
1/29/2018,73
2/5/2018,70
2/12/2018,84
2/19/2018,66
2/26/2018,58
3/5/2018,58
3/12/2018,57
3/19/2018,57
3/26/2018,75
4/2/2018,62
4/9/2018,66
4/16/2018,69
4/23/2018,65
4/30/2018,72
5/7/2018,58
5/14/2018,62
5/21/2018,61
5/28/2018,75
6/4/2018,59
6/11/2018,52
6/18/2018,56
6/25/2018,56
7/2/2018,61
7/9/2018,63
7/16/2018,57
7/23/2018,63
7/30/2018,57
8/6/2018,49
8/13/2018,49
8/20/2018,53
8/27/2018,60
9/3/2018,58
9/10/2018,50
9/17/2018,49
9/24/2018,45
10/1/2018,47
10/8/2018,49
10/15/2018,51
10/22/2018,48
10/29/2018,56
11/5/2018,50
11/12/2018,53
11/19/2018,51
11/26/2018,48
12/3/2018,49
12/10/2018,51
12/17/2018,52
12/24/2018,77
12/31/2018,76
1/7/2019,69
1/14/2019,64
1/21/2019,58
1/28/2019,55
2/4/2019,53
2/11/2019,51
2/18/2019,49
2/25/2019,46
3/4/2019,56
3/11/2019,48
3/18/2019,48
3/25/2019,47
4/1/2019,45
4/8/2019,45
4/15/2019,56
4/22/2019,46
4/29/2019,50
5/6/2019,44
5/13/2019,47
5/20/2019,46
5/27/2019,45
6/3/2019,45
6/10/2019,42
6/17/2019,57
6/24/2019,48
7/1/2019,54
7/8/2019,52
7/15/2019,61
7/22/2019,62
7/29/2019,51
8/5/2019,46
8/12/2019,49
8/19/2019,48
8/26/2019,46
9/2/2019,45
9/9/2019,43
9/16/2019,43
9/23/2019,45
9/30/2019,41
10/7/2019,44
10/14/2019,44
10/21/2019,42
10/28/2019,43
11/4/2019,39
11/11/2019,45
11/18/2019,41
11/25/2019,39
12/2/2019,41
12/9/2019,51
12/16/2019,50
12/23/2019,65
12/30/2019,66
1/6/2020,63
1/13/2020,56
1/20/2020,57
1/27/2020,52
2/3/2020,49
2/10/2020,48
2/17/2020,45
2/24/2020,61
3/2/2020,46
3/9/2020,41
3/16/2020,82
3/23/2020,100
3/30/2020,92
4/6/2020,85
4/13/2020,80
4/20/2020,80
4/27/2020,76
5/4/2020,72
5/11/2020,69
5/18/2020,66
5/25/2020,70
6/1/2020,63
6/8/2020,69
6/15/2020,63
6/22/2020,65
6/29/2020,67
7/6/2020,62
7/13/2020,60
7/20/2020,60
7/27/2020,60
8/3/2020,53
8/10/2020,53
8/17/2020,58
8/24/2020,53
8/31/2020,50
9/7/2020,56
9/14/2020,51
9/21/2020,53
9/28/2020,47
10/5/2020,48
10/12/2020,50
10/19/2020,48
10/26/2020,48
11/2/2020,52
11/9/2020,45
11/16/2020,45
11/23/2020,44
11/30/2020,43
12/7/2020,49
12/14/2020,45
12/21/2020,61
12/28/2020,69
1/4/2021,59
1/11/2021,57
1/18/2021,55
1/25/2021,55
2/1/2021,48
2/8/2021,48
2/15/2021,54
2/22/2021,45
3/1/2021,51
3/8/2021,52
3/15/2021,50
3/22/2021,53
3/29/2021,57
4/5/2021,49
4/12/2021,49
4/19/2021,78
