Date,netflix_Trend_SouthAfrica
4/25/2016,8
5/2/2016,7
5/9/2016,7
5/16/2016,6
5/23/2016,5
5/30/2016,5
6/6/2016,7
6/13/2016,6
6/20/2016,5
6/27/2016,5
7/4/2016,6
7/11/2016,7
7/18/2016,5
7/25/2016,6
8/1/2016,5
8/8/2016,6
8/15/2016,6
8/22/2016,8
8/29/2016,5
9/5/2016,7
9/12/2016,5
9/19/2016,6
9/26/2016,7
10/3/2016,7
10/10/2016,6
10/17/2016,7
10/24/2016,5
10/31/2016,6
11/7/2016,6
11/14/2016,5
11/21/2016,7
11/28/2016,7
12/5/2016,8
12/12/2016,11
12/19/2016,8
12/26/2016,9
1/2/2017,10
1/9/2017,9
1/16/2017,9
1/23/2017,8
1/30/2017,6
2/6/2017,8
2/13/2017,8
2/20/2017,8
2/27/2017,7
3/6/2017,8
3/13/2017,7
3/20/2017,12
3/27/2017,8
4/3/2017,9
4/10/2017,12
4/17/2017,9
4/24/2017,9
5/1/2017,10
5/8/2017,11
5/15/2017,10
5/22/2017,8
5/29/2017,10
6/5/2017,11
6/12/2017,12
6/19/2017,11
6/26/2017,11
7/3/2017,10
7/10/2017,12
7/17/2017,13
7/24/2017,11
7/31/2017,11
8/7/2017,16
8/14/2017,11
8/21/2017,11
8/28/2017,12
9/4/2017,14
9/11/2017,11
9/18/2017,13
9/25/2017,12
10/2/2017,15
10/9/2017,11
10/16/2017,13
10/23/2017,11
10/30/2017,9
11/6/2017,15
11/13/2017,15
11/20/2017,16
11/27/2017,16
12/4/2017,15
12/11/2017,16
12/18/2017,16
12/25/2017,23
1/1/2018,22
1/8/2018,20
1/15/2018,18
1/22/2018,18
1/29/2018,17
2/5/2018,16
2/12/2018,20
2/19/2018,24
2/26/2018,18
3/5/2018,17
3/12/2018,22
3/19/2018,22
3/26/2018,24
4/2/2018,25
4/9/2018,20
4/16/2018,20
4/23/2018,20
4/30/2018,25
5/7/2018,23
5/14/2018,26
5/21/2018,23
5/28/2018,21
6/4/2018,23
6/11/2018,24
6/18/2018,22
6/25/2018,28
7/2/2018,25
7/9/2018,28
7/16/2018,28
7/23/2018,26
7/30/2018,23
8/6/2018,31
8/13/2018,28
8/20/2018,30
8/27/2018,29
9/3/2018,26
9/10/2018,30
9/17/2018,27
9/24/2018,32
10/1/2018,29
10/8/2018,28
10/15/2018,31
10/22/2018,25
10/29/2018,26
11/5/2018,31
11/12/2018,27
11/19/2018,30
11/26/2018,27
12/3/2018,28
12/10/2018,28
12/17/2018,30
12/24/2018,39
12/31/2018,40
1/7/2019,38
1/14/2019,35
1/21/2019,30
1/28/2019,32
2/4/2019,33
2/11/2019,29
2/18/2019,29
2/25/2019,28
3/4/2019,32
3/11/2019,30
3/18/2019,35
3/25/2019,36
4/1/2019,34
4/8/2019,32
4/15/2019,34
4/22/2019,43
4/29/2019,36
5/6/2019,36
5/13/2019,35
5/20/2019,32
5/27/2019,36
6/3/2019,37
6/10/2019,41
6/17/2019,43
6/24/2019,38
7/1/2019,42
7/8/2019,40
7/15/2019,37
7/22/2019,39
7/29/2019,36
8/5/2019,37
8/12/2019,35
8/19/2019,35
8/26/2019,37
9/2/2019,33
9/9/2019,34
9/16/2019,37
9/23/2019,45
9/30/2019,34
10/7/2019,32
10/14/2019,33
10/21/2019,34
10/28/2019,33
11/4/2019,32
11/11/2019,36
11/18/2019,36
11/25/2019,32
12/2/2019,38
12/9/2019,39
12/16/2019,45
12/23/2019,57
12/30/2019,52
1/6/2020,47
1/13/2020,41
1/20/2020,39
1/27/2020,33
2/3/2020,35
2/10/2020,35
2/17/2020,39
2/24/2020,37
3/2/2020,39
3/9/2020,41
3/16/2020,57
3/23/2020,89
3/30/2020,100
4/6/2020,92
4/13/2020,90
4/20/2020,87
4/27/2020,86
5/4/2020,68
5/11/2020,70
5/18/2020,86
5/25/2020,79
6/1/2020,66
6/8/2020,63
6/15/2020,70
6/22/2020,67
6/29/2020,67
7/6/2020,63
7/13/2020,67
7/20/2020,62
7/27/2020,62
8/3/2020,64
8/10/2020,64
8/17/2020,53
8/24/2020,52
8/31/2020,54
9/7/2020,61
9/14/2020,60
9/21/2020,59
9/28/2020,51
10/5/2020,54
10/12/2020,53
10/19/2020,50
10/26/2020,49
11/2/2020,43
11/9/2020,50
11/16/2020,48
11/23/2020,43
11/30/2020,53
12/7/2020,55
12/14/2020,60
12/21/2020,64
12/28/2020,82
1/4/2021,69
1/11/2021,66
1/18/2021,68
1/25/2021,64
2/1/2021,57
2/8/2021,55
2/15/2021,49
2/22/2021,51
3/1/2021,50
3/8/2021,52
3/15/2021,49
3/22/2021,52
3/29/2021,50
4/5/2021,56
4/12/2021,45
4/19/2021,65
